track_id,first_frame,last_frame,mean_area,num_detections,lifetime,disappeared
0,0,1,1075.5,2,2,True
1,0,17,603.4615384615385,13,18,True
2,0,24,1071.64,25,25,False
3,0,24,760.6,25,25,False
4,0,2,995.6666666666666,3,3,True
5,0,24,1009.0,25,25,False
6,0,24,1268.4,25,25,False
7,0,24,1649.76,25,25,False
8,0,15,1084.5625,16,16,True
9,0,15,851.4375,16,16,True
10,0,24,1143.68,25,25,False
11,0,24,1069.8260869565217,23,25,False
12,0,17,941.3888888888889,18,18,True
13,0,24,803.0,24,25,False
14,0,12,1475.923076923077,13,13,True
15,0,24,1257.88,25,25,False
16,0,12,1260.5384615384614,13,13,True
17,0,24,931.68,25,25,False
18,0,16,813.1764705882352,17,17,True
19,0,24,1340.44,25,25,False
20,0,24,850.24,25,25,False
21,0,24,837.56,25,25,False
22,0,15,845.8125,16,16,True
23,0,24,1172.6,25,25,False
24,0,11,858.25,12,12,True
25,0,24,1597.68,25,25,False
26,0,24,773.32,25,25,False
27,0,24,794.0,25,25,False
28,0,24,1084.96,25,25,False
29,0,21,1007.3636363636364,22,22,True
30,0,24,1458.44,25,25,False
31,0,5,623.6666666666666,3,6,True
32,0,22,1295.0869565217392,23,23,True
33,0,24,856.52,25,25,False
34,0,4,668.5,2,5,True
35,0,20,1104.5714285714287,21,21,True
36,0,14,936.4,15,15,True
37,0,24,1017.64,25,25,False
38,0,10,687.3636363636364,11,11,True
39,0,13,820.5384615384615,13,14,True
40,0,16,996.5294117647059,17,17,True
41,0,19,1084.35,20,20,True
42,0,24,840.24,25,25,False
43,0,16,1252.5882352941176,17,17,True
44,0,18,949.1052631578947,19,19,True
45,0,20,812.3809523809524,21,21,True
46,0,24,1196.0,25,25,False
47,0,24,1050.28,25,25,False
48,0,24,886.68,25,25,False
49,0,17,1237.1666666666667,18,18,True
50,0,24,1100.1739130434783,23,25,False
51,0,24,1007.16,25,25,False
52,0,13,777.0,14,14,True
53,0,24,1252.56,25,25,False
54,0,24,967.0,25,25,False
55,0,24,1012.48,25,25,False
56,0,24,1448.32,25,25,False
57,0,20,948.9,20,21,True
58,0,22,970.8421052631579,19,23,True
59,0,24,1430.4,25,25,False
60,0,24,1355.88,25,25,False
61,0,24,1157.52,25,25,False
62,0,14,995.1333333333333,15,15,True
63,0,21,801.0952380952381,21,22,True
64,0,8,746.1111111111111,9,9,True
65,0,24,1192.56,25,25,False
66,0,22,1259.2173913043478,23,23,True
67,0,6,797.1666666666666,6,7,True
68,0,24,1439.04,25,25,False
69,0,5,1082.5,6,6,True
70,0,24,924.12,25,25,False
71,0,24,1062.16,25,25,False
72,0,10,935.9090909090909,11,11,True
73,0,17,997.6111111111111,18,18,True
74,0,8,942.2222222222222,9,9,True
75,0,24,821.44,25,25,False
76,0,24,1028.52,25,25,False
77,0,19,869.8947368421053,19,20,True
78,0,24,1361.36,25,25,False
79,0,13,820.4285714285714,14,14,True
80,0,24,1075.16,25,25,False
81,0,14,983.0,15,15,True
82,0,24,966.7272727272727,22,25,False
83,0,24,962.5416666666666,24,25,False
84,0,24,973.24,25,25,False
85,0,19,1169.6,20,20,True
86,0,20,821.8095238095239,21,21,True
87,0,24,1013.84,25,25,False
88,0,13,857.4285714285714,14,14,True
89,0,24,1213.04,25,25,False
90,0,24,1404.56,25,25,False
91,0,17,957.3333333333334,18,18,True
92,0,8,854.25,8,9,True
93,0,24,928.32,25,25,False
94,0,24,1014.52,25,25,False
95,0,8,813.1111111111111,9,9,True
96,0,24,1033.6,25,25,False
97,0,24,1615.64,25,25,False
98,0,0,704.0,1,1,True
99,0,24,1485.48,25,25,False
100,0,24,1002.68,25,25,False
101,0,14,1077.7333333333333,15,15,True
102,0,24,667.68,25,25,False
103,0,15,978.8125,16,16,True
104,0,11,710.3333333333334,12,12,True
105,0,23,1325.6666666666667,24,24,True
106,0,5,596.8,5,6,True
107,0,17,900.1111111111111,18,18,True
108,0,24,713.2,20,25,False
109,0,24,1523.84,25,25,False
110,0,24,912.52,25,25,False
111,0,24,1028.0,24,25,False
112,0,7,859.7142857142857,7,8,True
113,0,20,888.952380952381,21,21,True
114,0,11,848.5,12,12,True
115,0,17,1357.111111111111,18,18,True
116,0,18,1141.9473684210527,19,19,True
117,0,24,1279.84,25,25,False
118,0,24,933.8,25,25,False
119,0,24,895.8,25,25,False
120,0,9,734.6666666666666,9,10,True
121,0,20,1090.2857142857142,21,21,True
122,0,24,981.4,25,25,False
123,0,24,1642.84,25,25,False
124,0,24,1221.6,25,25,False
125,0,5,1204.8333333333333,6,6,True
126,0,23,632.125,24,24,True
127,0,24,777.64,25,25,False
128,0,19,942.35,20,20,True
129,0,24,1269.88,25,25,False
130,0,5,985.6666666666666,6,6,True
131,0,24,960.72,25,25,False
132,0,16,599.8823529411765,17,17,True
133,0,24,1218.52,25,25,False
134,0,23,694.5454545454545,22,24,True
135,0,23,1129.5416666666667,24,24,True
136,0,6,710.0,7,7,True
137,0,13,869.9230769230769,13,14,True
138,0,19,839.1,20,20,True
139,0,14,1080.6,15,15,True
140,0,16,801.2352941176471,17,17,True
141,0,15,873.6875,16,16,True
142,0,24,819.72,25,25,False
143,0,24,707.7083333333334,24,25,False
144,0,16,1032.0,17,17,True
145,0,20,1076.952380952381,21,21,True
146,0,20,710.7,20,21,True
147,0,23,962.0869565217391,23,24,True
148,0,15,899.4375,16,16,True
149,0,24,1202.76,25,25,False
150,0,17,1304.7777777777778,18,18,True
151,0,24,1138.08,25,25,False
152,0,24,885.28,25,25,False
153,0,15,974.8,15,16,True
154,0,24,694.6315789473684,19,25,False
155,0,10,1138.909090909091,11,11,True
156,0,16,960.4117647058823,17,17,True
157,0,22,924.3478260869565,23,23,True
158,0,15,987.4375,16,16,True
159,0,24,1336.04,25,25,False
160,0,21,1009.2272727272727,22,22,True
161,0,14,659.4285714285714,14,15,True
162,0,24,920.7083333333334,24,25,False
163,0,24,672.64,25,25,False
164,0,24,1030.84,25,25,False
165,0,3,817.6666666666666,3,4,True
166,0,14,844.2666666666667,15,15,True
167,0,14,917.6,15,15,True
168,0,24,895.1363636363636,22,25,False
169,0,24,1059.44,25,25,False
170,0,17,1145.4444444444443,18,18,True
171,0,24,798.2,25,25,False
172,0,24,1190.44,25,25,False
173,0,24,1035.04,25,25,False
174,0,16,1003.0588235294117,17,17,True
175,0,12,946.3076923076923,13,13,True
176,0,22,1403.4347826086957,23,23,True
177,0,24,1487.92,25,25,False
178,0,24,1061.52,25,25,False
179,0,24,895.4761904761905,21,25,False
180,0,15,1051.875,16,16,True
181,0,20,1155.3333333333333,21,21,True
182,0,24,1540.32,25,25,False
183,0,17,974.6111111111111,18,18,True
184,0,17,1000.1111111111111,18,18,True
185,0,19,1042.1,20,20,True
186,0,24,1286.68,25,25,False
187,0,17,1073.0555555555557,18,18,True
188,0,20,700.2380952380952,21,21,True
189,0,17,967.5555555555555,18,18,True
190,0,17,931.0555555555555,18,18,True
191,0,24,974.32,25,25,False
192,0,24,890.36,25,25,False
193,0,19,618.625,16,20,True
194,0,19,873.4,20,20,True
195,0,24,1358.04,25,25,False
196,0,24,1155.32,25,25,False
197,0,15,849.625,16,16,True
198,0,24,1527.32,25,25,False
199,0,10,920.9090909090909,11,11,True
200,0,24,1437.84,25,25,False
201,0,17,934.5,18,18,True
202,0,24,955.28,25,25,False
203,0,17,873.8888888888889,18,18,True
204,0,18,922.8947368421053,19,19,True
205,0,24,859.88,25,25,False
206,0,19,861.85,20,20,True
207,0,24,1068.28,25,25,False
208,0,24,877.32,25,25,False
209,0,24,1179.72,25,25,False
210,0,24,1111.72,25,25,False
211,0,24,1133.92,25,25,False
212,0,11,646.3333333333334,12,12,True
213,0,24,769.76,25,25,False
214,0,24,1235.16,25,25,False
215,0,20,1062.8095238095239,21,21,True
216,0,24,1056.92,25,25,False
217,0,12,1036.8333333333333,12,13,True
218,0,24,1104.92,25,25,False
219,0,21,1453.9285714285713,14,22,True
220,0,24,1019.44,25,25,False
221,0,24,1596.7916666666667,24,25,False
222,0,24,1283.72,25,25,False
223,0,16,1242.7058823529412,17,17,True
224,0,16,804.3529411764706,17,17,True
225,0,6,744.5714285714286,7,7,True
226,0,19,796.7222222222222,18,20,True
227,0,24,1260.48,25,25,False
228,0,24,1113.88,25,25,False
229,0,19,1005.45,20,20,True
230,0,24,1021.36,25,25,False
231,0,18,860.1052631578947,19,19,True
232,0,1,642.0,2,2,True
233,0,20,820.1,20,21,True
234,0,18,909.6315789473684,19,19,True
235,0,24,895.12,25,25,False
236,0,19,1311.45,20,20,True
237,0,1,894.0,2,2,True
238,0,24,705.8636363636364,22,25,False
239,0,24,1110.68,25,25,False
240,0,18,934.6315789473684,19,19,True
241,0,24,1139.92,25,25,False
242,0,24,1271.24,25,25,False
243,0,24,1228.36,25,25,False
244,0,12,874.9230769230769,13,13,True
245,0,4,674.25,4,5,True
246,0,11,967.6666666666666,12,12,True
247,0,24,1345.36,25,25,False
248,0,24,1220.52,25,25,False
249,0,24,1367.56,25,25,False
250,0,24,1312.52,25,25,False
251,0,24,1019.4166666666666,24,25,False
252,0,5,573.75,4,6,True
253,0,24,965.08,25,25,False
254,0,24,1076.92,25,25,False
255,0,24,793.9166666666666,24,25,False
256,0,24,1002.36,25,25,False
257,0,24,1521.8,25,25,False
258,0,14,1210.7333333333333,15,15,True
259,0,24,1131.48,25,25,False
260,0,18,1073.578947368421,19,19,True
261,0,18,924.5,18,19,True
262,0,16,1057.5882352941176,17,17,True
263,0,2,1133.6666666666667,3,3,True
264,0,24,1296.28,25,25,False
265,0,24,1148.68,25,25,False
266,0,3,525.0,4,4,True
267,0,6,1010.0,7,7,True
268,0,24,1218.24,25,25,False
269,0,24,900.08,25,25,False
270,0,24,1188.08,25,25,False
271,0,24,1276.6,25,25,False
272,0,15,1067.5625,16,16,True
273,0,2,1030.6666666666667,3,3,True
274,0,11,833.0833333333334,12,12,True
275,0,24,849.24,25,25,False
276,0,24,1114.72,25,25,False
277,0,24,1097.6,25,25,False
278,0,24,971.6,25,25,False
279,0,17,858.2352941176471,17,18,True
280,0,13,585.1538461538462,13,14,True
281,0,24,1183.72,25,25,False
282,0,8,1077.4444444444443,9,9,True
283,0,14,639.4285714285714,14,15,True
284,0,23,805.6818181818181,22,24,True
285,0,21,1186.2272727272727,22,22,True
286,0,24,1196.0,24,25,False
287,0,24,1575.68,25,25,False
288,0,24,885.6190476190476,21,25,False
289,0,19,982.3,20,20,True
290,0,24,939.96,25,25,False
291,0,24,1104.52,25,25,False
292,0,24,1801.56,25,25,False
293,0,24,1025.68,25,25,False
294,0,15,1094.625,16,16,True
295,0,1,1095.0,2,2,True
296,0,22,1137.391304347826,23,23,True
297,0,18,1004.9473684210526,19,19,True
298,0,14,961.8666666666667,15,15,True
299,0,2,995.3333333333334,3,3,True
300,0,13,881.5714285714286,14,14,True
301,0,20,905.9047619047619,21,21,True
302,0,24,1169.72,25,25,False
303,0,24,1138.76,25,25,False
304,0,19,1417.15,20,20,True
305,0,24,850.84,25,25,False
306,0,15,929.625,16,16,True
307,0,20,809.3333333333334,21,21,True
308,0,11,493.25,12,12,True
309,0,24,1354.48,25,25,False
310,0,24,741.64,25,25,False
311,0,22,941.9565217391304,23,23,True
312,0,14,706.6666666666666,15,15,True
313,0,19,907.65,20,20,True
314,0,24,1123.4,25,25,False
315,0,24,876.6,25,25,False
316,0,24,1936.56,25,25,False
317,0,10,762.4,10,11,True
318,0,24,1379.4,25,25,False
319,0,17,1088.7222222222222,18,18,True
320,0,24,1266.92,25,25,False
321,0,13,751.0769230769231,13,14,True
322,0,18,1427.0526315789473,19,19,True
323,0,24,1040.4166666666667,24,25,False
324,0,24,917.0,25,25,False
325,0,24,1512.84,25,25,False
326,0,17,639.8888888888889,18,18,True
327,0,17,1029.1666666666667,18,18,True
328,0,18,963.578947368421,19,19,True
329,0,24,1071.44,25,25,False
330,0,24,1474.16,25,25,False
331,0,24,948.08,25,25,False
332,0,19,1155.75,20,20,True
333,0,16,843.2941176470588,17,17,True
334,0,24,1335.68,25,25,False
335,0,9,556.4,10,10,True
336,0,24,920.24,25,25,False
337,0,24,798.68,25,25,False
338,0,24,854.0,25,25,False
339,0,24,1190.8,25,25,False
340,0,24,979.76,25,25,False
341,0,24,1197.88,25,25,False
342,0,6,780.1428571428571,7,7,True
343,0,24,782.2,25,25,False
344,0,13,1357.142857142857,14,14,True
345,0,4,303.3333333333333,3,5,True
346,0,17,1183.388888888889,18,18,True
347,0,24,1080.08,25,25,False
348,0,14,1313.4666666666667,15,15,True
349,1,8,806.875,8,8,True
350,1,20,976.1111111111111,18,20,True
351,1,14,594.3571428571429,14,14,True
352,1,24,1148.2380952380952,21,24,False
353,1,11,529.4545454545455,11,11,True
354,1,24,1204.9583333333333,24,24,False
355,1,1,549.0,1,1,True
356,1,5,888.8,5,5,True
357,1,8,1251.8333333333333,6,8,True
358,1,24,893.5909090909091,22,24,False
359,1,2,541.5,2,2,True
360,1,10,736.0,10,10,True
361,1,16,713.6428571428571,14,16,True
362,1,10,987.6,10,10,True
363,1,1,635.0,1,1,True
364,1,2,530.5,2,2,True
365,1,11,567.75,8,11,True
366,1,24,907.6666666666666,24,24,False
367,1,1,741.0,1,1,True
368,1,24,461.6521739130435,23,24,False
369,1,5,1232.75,4,5,True
370,1,1,1511.0,1,1,True
371,1,24,962.6086956521739,23,24,False
372,1,1,958.0,1,1,True
373,1,24,1293.4583333333333,24,24,False
374,1,1,1240.0,1,1,True
375,1,1,488.0,1,1,True
376,1,24,961.0416666666666,24,24,False
377,2,24,746.695652173913,23,23,False
378,2,24,860.0,23,23,False
379,2,13,1648.4166666666667,12,12,True
380,3,13,711.875,8,11,True
381,3,19,1215.4705882352941,17,17,True
382,4,4,687.0,1,1,True
383,4,23,1239.4736842105262,19,20,True
384,5,5,688.0,1,1,True
385,8,17,552.4,5,10,True
386,9,20,857.9166666666666,12,12,True
387,9,24,822.3125,16,16,False
388,9,11,834.3333333333334,3,3,True
389,9,9,746.0,1,1,True
390,10,15,717.8333333333334,6,6,True
391,10,11,717.5,2,2,True
392,11,22,857.3333333333334,12,12,True
393,11,22,877.8571428571429,7,12,True
394,13,18,1172.0,5,6,True
395,13,18,768.1666666666666,6,6,True
396,14,20,834.2857142857143,7,7,True
397,15,24,1593.3,10,10,False
398,16,17,403.5,2,2,True
399,17,23,1004.6666666666666,3,7,True
400,18,19,1177.5,2,2,True
401,20,22,404.5,2,3,True
402,21,21,1775.0,1,1,True
403,21,23,363.0,2,3,True
